지휘관,싱크로,보스,속성,덱,니케1,니케2,니케3,니케4,니케5,딜량,비고
설화,708,철갑,전격,1,목단,프리카,신데렐라 : 크리스탈 웨이브,민트,레이븐,30004193744,
설화,708,철갑,전격,2,목단,프리카,신데렐라 : 크리스탈 웨이브,민트,프리바티,28718804767,
설화,708,철갑,전격,3,아니스 : 스타,프리카,신데렐라 : 크리스탈 웨이브,민트,프리바티,34491729623,
설화,708,철갑,전격,4,아니스 : 스타,크라운,신데렐라 : 크리스탈 웨이브,레이븐,프리바티,38597312783,
설화,708,철갑,전격,5,아니스 : 스타,크라운,신데렐라 : 크리스탈 웨이브,이브,프리바티,36340512147,
설화,708,철갑,전격,6,리틀 머메이드,나유타,라피 : 레드 후드,신데렐라 : 크리스탈 웨이브,프리바티,36942622599,
설화,708,철갑,전격,7,아니스 : 스타,나유타,라피 : 레드 후드,신데렐라 : 크리스탈 웨이브,프리바티,41218193693,
설화,708,수냉,작열,1,목단,크라운,스노우 화이트 : 헤비암즈,프리바티,마스트 : 로망틱 메이드,46306416692,
설화,708,수냉,작열,2,목단,크라운,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,47422944102,
설화,708,수냉,작열,3,아니스 : 스타,크라운,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,55883018814,
설화,708,수냉,작열,4,리틀 머메이드,프리카,스노우 화이트 : 헤비암즈,민트,프리바티,39510900368,
설화,708,수냉,작열,5,목단,크라운,스노우 화이트 : 헤비암즈,헬름,일레그 : 붐 앤 쇼크,42061301815,
설화,708,수냉,작열,6,마스트 : 로망틱 메이드,앵커 : 이노센트 메이드,아니스 : 스타,스노우 화이트 : 헤비암즈,프리바티,51053375756,
설화,708,수냉,작열,7,아니스 : 스타,나유타,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,53644040087,
설화,708,수냉,작열,8,목단,나유타,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,45576279769,
설화,708,작열,풍압,1,아니스 : 스타,브리드 : 사일런트 트랙,라피 : 레드 후드,디젤 : 윈터 스위츠,미하라 : 본딩 체인,33551679149,
설화,708,작열,풍압,2,리틀 머메이드,브리드 : 사일런트 트랙,라피 : 레드 후드,디젤 : 윈터 스위츠,미하라 : 본딩 체인,28245640955,
